stoppage_id,unit,start_time,end_time,duration_hours,cause_category,section,responsible_department,shift,planned,production_loss_tonnes,month
STP-001,U1KILN,2025-05-07 08:04:58,2025-05-07 10:42:10,2.62,Instrumentation Fault,Calciner,Instrumentation,A (06:00-14:00),0,374.6,2025-05
STP-002,U1KILN,2025-05-15 07:10:47,2025-05-16 13:43:11,30.54,Refractory / Coating Failure,Kiln Feed System,Mechanical,A (06:00-14:00),0,4610.6,2025-05
STP-003,U1KILN,2025-05-21 03:50:45,2025-05-22 09:55:33,30.08,Electrical Fault,Calciner,Electrical,C (22:00-06:00),0,4138.9,2025-05
STP-004,U1KILN,2025-05-24 17:33:28,2025-05-25 01:08:52,7.59,Mechanical Breakdown,Calciner,Mechanical,B (14:00-22:00),0,1009.8,2025-05
STP-005,U1KILN,2025-05-31 15:23:46,2025-06-01 09:37:34,18.23,Refractory / Coating Failure,Preheater Tower,Mechanical,B (14:00-22:00),0,2429.5,2025-05
STP-006,U1KILN,2025-06-10 05:05:23,2025-06-10 09:16:11,4.18,Process Upset,Kiln Shell / Refractory,Operations,C (22:00-06:00),0,625.6,2025-06
STP-007,U1KILN,2025-06-12 02:05:10,2025-06-12 11:42:22,9.62,Electrical Fault,ID Fan,Electrical,C (22:00-06:00),0,1259.5,2025-06
STP-008,U1KILN,2025-06-22 22:51:25,2025-06-23 14:44:13,15.88,Planned Preventive Halt,ID Fan,Maintenance,C (22:00-06:00),1,2261.1,2025-06
STP-009,U1KILN,2025-06-29 07:59:50,2025-06-29 12:01:38,4.03,Instrumentation Fault,Instrumentation Loop,Instrumentation,A (06:00-14:00),0,573.0,2025-06
STP-010,U1KILN,2025-07-04 02:03:58,2025-07-04 09:15:58,7.2,Instrumentation Fault,Burner / Firing System,Instrumentation,C (22:00-06:00),0,1034.5,2025-07
STP-011,U1KILN,2025-07-09 17:10:31,2025-07-09 23:34:31,6.4,Instrumentation Fault,Clinker Cooler,Instrumentation,B (14:00-22:00),0,964.7,2025-07
STP-012,U1KILN,2025-07-16 02:15:29,2025-07-16 05:17:17,3.03,Fan / Blower Trip,Calciner,Electrical,C (22:00-06:00),0,421.7,2025-07
STP-013,U1KILN,2025-07-22 11:28:32,2025-07-23 13:30:56,26.04,Refractory / Coating Failure,Calciner,Mechanical,A (06:00-14:00),0,3726.9,2025-07
STP-014,U1KILN,2025-07-30 00:04:43,2025-07-30 07:14:19,7.16,Electrical Fault,Kiln Main Drive,Electrical,C (22:00-06:00),0,949.4,2025-07
STP-015,U1KILN,2025-08-05 19:55:59,2025-08-06 02:30:47,6.58,Mechanical Breakdown,Kiln Feed System,Mechanical,B (14:00-22:00),0,907.4,2025-08
STP-016,U1KILN,2025-08-12 14:26:22,2025-08-12 22:42:34,8.27,Electrical Fault,Kiln Shell / Refractory,Electrical,B (14:00-22:00),0,1208.5,2025-08
STP-017,U1KILN,2025-08-21 11:18:04,2025-08-22 02:57:04,15.65,Refractory / Coating Failure,Kiln Feed System,Mechanical,A (06:00-14:00),0,2274.5,2025-08
STP-018,U1KILN,2025-08-26 21:33:00,2025-08-28 07:12:36,33.66,Planned Preventive Halt,ID Fan,Maintenance,B (14:00-22:00),1,4407.6,2025-08
STP-019,U1KILN,2025-09-01 11:56:40,2025-09-02 02:41:40,14.75,Mechanical Breakdown,Instrumentation Loop,Mechanical,A (06:00-14:00),0,2168.5,2025-09
STP-020,U1KILN,2025-09-09 23:10:09,2025-09-10 05:11:21,6.02,Fan / Blower Trip,Instrumentation Loop,Electrical,C (22:00-06:00),0,895.6,2025-09
STP-021,U1KILN,2025-09-12 08:17:22,2025-09-12 17:09:34,8.87,Mechanical Breakdown,Instrumentation Loop,Mechanical,A (06:00-14:00),0,1327.5,2025-09
STP-022,U1KILN,2025-09-18 13:27:59,2025-09-18 18:06:23,4.64,Raw Material Shortage,Burner / Firing System,Operations,A (06:00-14:00),0,600.4,2025-09
STP-023,U1KILN,2025-09-27 11:39:02,2025-09-27 13:16:50,1.63,Fan / Blower Trip,Preheater Tower,Electrical,A (06:00-14:00),0,209.9,2025-09
