udi,timestamp,machine_id,product_id,machine_type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,thermal_delta_k,power_w,hazard,dominant_mode,machine_failure,twf,hdf,pwf,osf,osp,tol,rnf
1,2025-05-04 06:00:00,FAN-07,M47000,M,300.0,310.6,1168,48.0,111,10.58,5873.9,0.0637,tol,0,0,0,0,0,0,0,0
2,2025-05-04 12:00:00,CRS-08,L47001,L,299.7,311.4,1168,53.1,62,11.67,6498.2,0.241,tol,0,0,0,0,0,0,0,0
3,2025-05-04 18:00:00,CML-05,M47002,M,299.1,309.5,1459,38.5,35,10.43,5887.2,0.0083,rnf,0,0,0,0,0,0,0,0
4,2025-05-05 00:00:00,CML-05,M47003,M,298.3,308.7,2209,21.9,30,10.45,5061.8,0.0049,rnf,0,0,0,0,0,0,0,0
5,2025-05-05 06:00:00,CRS-08,L47004,L,298.3,308.4,2137,21.1,31,10.05,4723.6,0.0052,rnf,0,0,0,0,0,0,0,0
6,2025-05-05 12:00:00,KLN-01,H47005,H,298.1,307.8,1597,36.4,46,9.67,6090.8,0.0062,rnf,0,0,0,0,0,0,0,0
7,2025-05-05 18:00:00,BLR-03,M47006,M,297.8,307.6,2886,14.3,65,9.84,4316.7,0.9011,osp,1,0,0,0,0,1,0,0
8,2025-05-06 00:00:00,CML-05,M47007,M,298.9,309.1,1168,59.7,46,10.14,7307.7,0.6954,tol,1,0,0,0,0,0,1,0
9,2025-05-06 06:00:00,CRS-08,L47008,L,299.0,310.7,1812,47.3,227,11.72,8978.0,0.9802,osf,1,1,0,0,1,0,0,0
10,2025-05-06 12:00:00,CRS-08,L47009,L,299.9,309.6,1276,33.0,65,9.76,4410.6,0.0596,hdf,0,0,0,0,0,0,0,0
11,2025-05-06 18:00:00,PKR-09,L47010,L,299.5,309.6,2486,31.3,175,10.05,8141.2,0.2193,osp,0,0,0,0,0,0,0,0
12,2025-05-07 00:00:00,RMM-04,H47011,H,299.7,308.9,1596,54.7,74,9.13,9144.8,0.6837,pwf,0,0,0,1,0,0,0,0
13,2025-05-07 06:00:00,FAN-07,M47012,M,299.7,310.4,2404,27.7,28,10.72,6985.8,0.0491,osp,1,0,0,0,0,0,0,0
14,2025-05-07 12:00:00,CLC-06,M47013,M,298.6,309.9,2540,28.8,48,11.37,7659.5,0.4277,osp,0,0,0,0,0,0,0,0
15,2025-05-07 18:00:00,PKR-09,L47014,L,299.6,311.2,1659,31.6,39,11.62,5486.4,0.0043,rnf,0,0,0,0,0,0,0,0
16,2025-05-08 00:00:00,PKR-09,L47015,L,299.5,309.8,1291,37.6,128,10.2,5086.0,0.0193,hdf,1,0,0,0,0,0,0,0
17,2025-05-08 06:00:00,PKR-09,L47016,L,300.1,310.7,2070,41.3,76,10.57,8961.4,0.2634,pwf,0,0,0,0,0,0,0,0
18,2025-05-08 12:00:00,CRS-08,L47017,L,299.6,309.4,1218,53.1,33,9.85,6775.4,0.2701,tol,0,0,0,0,0,0,0,0
19,2025-05-08 18:00:00,FAN-07,M47018,M,299.5,310.0,1168,60.4,77,10.53,7389.1,0.7251,tol,1,0,0,0,0,0,1,0
20,2025-05-09 00:00:00,CLC-06,M47019,M,298.9,309.2,2886,31.1,165,10.31,9395.2,0.979,osp,1,0,0,1,0,1,0,0
21,2025-05-09 06:00:00,CLC-06,M47020,M,299.8,309.9,1168,43.8,170,10.06,5362.5,0.0485,hdf,1,0,0,0,0,0,0,0
22,2025-05-09 12:00:00,CRS-08,L47021,L,300.0,310.2,2078,32.6,11,10.14,7098.2,0.0044,rnf,0,0,0,0,0,0,0,0
23,2025-05-09 18:00:00,KLN-02,H47022,H,300.3,310.7,2886,20.0,33,10.45,6035.5,0.8997,osp,1,0,0,0,0,1,0,0
24,2025-05-10 00:00:00,CML-05,M47023,M,301.2,310.9,1168,32.6,33,9.71,3989.5,0.1694,pwf,1,0,0,0,0,0,0,0
25,2025-05-10 06:00:00,FAN-07,M47024,M,301.9,311.7,1943,31.1,19,9.76,6332.9,0.0042,rnf,0,0,0,0,0,0,0,0
26,2025-05-10 12:00:00,CRS-08,L47025,L,302.3,314.0,1706,44.4,201,11.71,7932.1,0.4307,twf,0,0,0,0,0,0,0,0
27,2025-05-10 18:00:00,CRS-08,L47026,L,301.2,313.9,2091,29.4,54,12.71,6448.0,0.0042,rnf,0,0,0,0,0,0,0,0
28,2025-05-11 00:00:00,PKR-09,L47027,L,300.7,309.5,1833,34.9,33,8.8,6705.8,0.0048,rnf,0,0,0,0,0,0,0,0
29,2025-05-11 06:00:00,CRS-08,L47028,L,299.9,308.7,1168,56.6,41,8.74,6920.8,0.7336,hdf,0,0,0,0,0,0,0,0
30,2025-05-11 12:00:00,CLC-06,M47029,M,300.4,309.5,1168,65.7,160,9.04,8033.4,0.9477,tol,1,0,0,0,0,0,1,0
31,2025-05-11 18:00:00,BLR-03,M47030,M,300.5,310.4,2741,21.0,105,9.9,6033.8,0.8855,osp,1,0,0,0,0,1,0,0
32,2025-05-12 00:00:00,KLN-01,H47031,H,299.6,308.5,2886,24.6,95,8.92,7426.2,0.8997,osp,1,0,0,0,0,1,0,0
33,2025-05-12 06:00:00,CRS-08,L47032,L,299.5,310.0,2665,31.3,113,10.59,8733.2,0.8443,osp,1,0,0,0,0,1,0,0
34,2025-05-12 12:00:00,CRS-08,L47033,L,298.5,308.6,1404,48.4,128,10.17,7118.7,0.0751,tol,0,0,0,0,0,0,0,0
35,2025-05-12 18:00:00,CRS-08,L47034,L,298.5,309.1,1168,57.8,253,10.53,7071.5,0.9956,osf,1,1,0,0,1,0,1,0
36,2025-05-13 00:00:00,CRS-08,L47035,L,297.5,306.8,1947,32.0,50,9.31,6532.0,0.0043,rnf,0,0,0,0,0,0,0,0
37,2025-05-13 06:00:00,PKR-09,L47036,L,298.0,307.8,1260,47.9,29,9.76,6317.3,0.1033,tol,0,0,0,0,0,0,0,0
38,2025-05-13 12:00:00,CRS-08,L47037,L,298.4,308.1,1168,50.5,11,9.7,6179.3,0.1732,tol,0,0,0,0,0,0,0,0
39,2025-05-13 18:00:00,CRS-08,L47038,L,299.8,308.2,2073,39.8,57,8.42,8638.8,0.0473,pwf,0,0,0,0,0,0,0,0
40,2025-05-14 00:00:00,CLC-06,M47039,M,300.4,309.2,1568,31.0,111,8.84,5095.2,0.0164,hdf,0,0,0,0,0,0,0,0
41,2025-05-14 06:00:00,PKR-09,L47040,L,300.1,308.9,1647,43.0,220,8.88,7410.4,0.8516,twf,1,1,0,0,0,0,0,0
42,2025-05-14 12:00:00,CLC-06,M47041,M,300.6,311.4,1338,35.0,87,10.76,4899.2,0.0074,rnf,0,0,0,0,0,0,0,0
